OPENADMET_CANONICAL_SMILES,OPENADMET_INCHIKEY
COC(=O)C1=CO[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2[C@@H](C)[C@H](O)C[C@H]12,AMBQHHVBBHTQBF-XATADCHISA-N
NC(=O)CC[C@H](N)C(=O)N1CCCCCCO[C@H]([C@H](O)CO)[C@H](O)[C@H](O)C1,BFHVSTSLJOZRFV-YAYDYNKSSA-N
COC(=O)C1=CC=C(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2NC(C)=O)C(OC)=C1,JOUTXQPHNOCSOW-RUCLQGLUSA-N
CC(=O)O[C@@H]1[C@@H]2OC(=O)[C@@H](OC(C)=O)[C@H]2O[C@H]1N1C=NC2=C1C(=O)NC(=O)N2,ZECWZCNFRIDGKJ-WPYQSKQHSA-N
CCCCCCO[C@H]1O[C@@H](CO[C@@H]2OC[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,PSYNCYUUTFEJHA-OSZOVTTPSA-N
CC1CCN(C2=NC3=C(N=C(N)NC3=O)N2[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)CC1,MLZAFEOJTFYGSN-WQURNTSKSA-N
CC(=O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,KGSIOYQZUFTKHO-QKSPDUFNSA-N
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2[C@H]1CC[C@]2(C)O,XBGJTRDIWPEIMG-SCHFUKFYSA-N
COC(=O)C1=CC(=O)N2C=NC3=C(N=CN3[C@H]3O[C@@H](CO)[C@@H](O)[C@H]3O)C2=C1,KWIHOMDLMLPIHT-FWHFQCOYSA-N
CC(=O)N[C@@H]1[C@@H](OC2=C[C@@H]3OC(=O)C=C(C)[C@@H]3C=C2)O[C@H](CO)[C@H](O)[C@H]1O,LLFCSUYBSLLXPO-XAKAWXPZSA-N
CC(=O)N1CCN([C@H]2[C@@H]3OC[C@@H](O3)[C@@H](NCC3=CC=C(CO)O3)[C@@H]2O)CC1,PGMXIGXEZVZDLI-HSFUPAIVSA-N
CN(C)C(=O)CN1C[C@@]23CN(CC4=CN(C)N=C4)C[C@@H](C[C@@H]2S1(=O)=O)O3,SJISJNYSNHNNFI-YCPHGPKFSA-N
COCC(=O)N[C@@H]1CN(S(=O)(=O)C2=CC=C3NC(=O)NC(=O)C3=C2)C[C@H]1O,XCBIMDPUNIBVFL-VXGBXAGGSA-N
COC1=CC=C(OC)C(S(=O)(=O)NCCN[C@H]2CS(=O)(=O)C[C@H]2O)=C1,WQNNITLGHRBOGJ-NWDGAFQWSA-N
NCCN1C=C(C(=O)N2CCOC[C@@]3(CC4=C(N)N=C(N)N=C4O3)C2)N=N1,DBYZPMXNKQJLAX-OAHLLOKOSA-N
CC(=O)N[C@H]1[C@@H](O[C@@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@@H]1O,DRHGSSXSNNHAAL-ZSWBBPPYSA-N
C[C@@H](C(=O)O)[C@@H](NC1=NC=NC2=C1N=CN2[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1O)C(=O)O,HWVUUTNORPSCNF-HTJWUNGVSA-N
C[C@H]1[C@@H]2[C@@H](O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)OC=C(C(=O)O)[C@@H]2C[C@H]1O,JNNGEAWILNVFFD-YKTRAYCHSA-N
CNC(=O)C1=CN(C2=NC(N)=C3N=CN([C@@H]4O[C@H](CO)[C@@H](O)[C@@H]4O)C3=N2)N=C1,LZPZPHGJDAGEJZ-QIPHIMSASA-N
COC1=NC(=O)C(Br)=C(N[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)N1,KJDPOGUTOZJGGF-NUPWSADLSA-N
CC1(C)O[C@H]2[C@@H](O1)[C@@H](C(=O)NCC(=O)NCC(=O)O)O[C@H]1OC(C)(C)O[C@@H]12,QCBKOFMARPFBBC-LARJDALCSA-N
CN(C(=O)CCN)[C@H]1CC[C@@](O)(CN2C=NC3=C(N)N=C(N)N=C32)[C@H](O)C1,MDIJZHAVSZVVLW-YNHOBRIKSA-N
CC(C)C[C@@H](NC(=O)[C@@]1(O)C[C@@H](O)[C@H](O)[C@@H](NC(=O)C2=CC=CO2)C1)C(N)=O,HURAOGASBFGRBW-MNXLVCHVSA-N
NC(=O)C(SC1=NC2=CC=CC=C2N=C1SC(C(N)=O)C(N)=O)C(N)=O,CHUGHJVDGLDDKT-UHFFFAOYSA-N
CNC(=O)C1=CN(C2=NC(N)=C3N=CN([C@@H]4O[C@H](CO)[C@H](O)[C@H]4O)C3=N2)N=C1,LZPZPHGJDAGEJZ-IEQSHNCZSA-N
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](C(=O)NCC2CCNCC2)[C@@H](O)[C@H]1O,QORMXDVXCHKGRB-MEQWQQMJSA-N
C[C@@H](O)[C@@H]1NC(=O)C[C@@H](C(=O)O)NC(=O)C2=CC=CC=C2OCCN(C)C1=O,QAPHOJWBBNSCTF-GMXABZIVSA-N
COC(=O)C1=CO[C@@H](O[C@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)[C@@H]2[C@H](C)[C@@H](O)C[C@@H]12,AMBQHHVBBHTQBF-RDWPWBIASA-N
O=S(=O)(NC[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1N1CCOCC1)C1=CC=CS1,ZOUXJRNHOXALNV-UVLXDEKHSA-N
CC(=O)OC[C@H]1O[C@@H](N2C=C(F)C(=O)NC2=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,GWZWJYSFWAOCJZ-OWTLIXCDSA-N
NC1=CC(N2CCCCC2)=NC(N)=[N+]1O[C@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,LROBBFGRUDJFDG-BYNIDDHOSA-O
COC(=O)C1=CO[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H]2[C@H]1C(=O)C[C@H]2C,HLXRWTJXGMHOFN-IRPCNDQZSA-N
CC1(C)O[C@@H]2[C@@H](O1)[C@H](C(=O)NCC(=O)NCC(=O)O)O[C@H]1OC(C)(C)O[C@@H]12,QCBKOFMARPFBBC-SKENRDBWSA-N
CS(=O)(=O)NC[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1N1CCN(C2=CC=CC=N2)CC1,GWLJGVQJVVVCID-BFJAYTPKSA-N
CC(C)C[C@H]1NC(=O)[C@@H]2C[C@@H](N3N=NC(C(N)=O)=C3C(N)=O)CCN2C1=O,VBSRNLHDKLRWAG-AEJSXWLSSA-N
CC(=O)N[C@@H]1[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H](CO)O[C@@H]1O,HMQPEDMEOBLSQB-WVWRKQJWSA-N
CN(C)S(=O)(=O)N1CCO[C@H]2CN(S(=O)(=O)C3=CN(C)C=N3)C[C@H]21,GFLVGMRROYOMLX-MNOVXSKESA-N
CCCC12CN3CC(CCC)(CN(C1)C3[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C2=O,NVVUTFHBWBIRLZ-JGZDFAKSSA-N
NCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CCN1C(=O)C=CC1=O,PWQRUNDIQJPUCM-UHFFFAOYSA-N
CC(=O)N[C@@H]1[C@@H](OCCN2C(=O)C3=CC=CC=C3C2=O)O[C@@H](CO)[C@@H](O)[C@@H]1O,MDZVGYXIHPWDNV-YPIIOCQESA-N
C[C@H](O)CN(CCN(C[C@@H](C)O)C[C@@H](C)O)CCN(C[C@@H](C)O)C[C@@H](C)O,LWMWZNOCSCPBCH-UURKPOQGSA-N
CC(=O)N[C@H]1[C@@H](OC2=C[C@@H]3OC(=O)C=C(C)[C@H]3C=C2)O[C@@H](CO)[C@@H](O)[C@H]1O,LLFCSUYBSLLXPO-VERAILODSA-N
CNC(=O)C1=CN(C2=NC(N)=C3N=CN([C@@H]4O[C@H](CO)[C@H](O)[C@@H]4O)C3=N2)N=C1,LZPZPHGJDAGEJZ-DXPNZXDVSA-N
