OPENADMET_CANONICAL_SMILES,OPENADMET_INCHIKEY
COC1=CC=C(N(CC(=O)O)S(=O)(=O)C2=CC=C(C)C([N+](=O)[O-])=C2)C(OC)=C1,GZRCDCZBFFNKHC-UHFFFAOYSA-N
CC1=CC=C([N+](=O)[O-])C=C1N([C@@H](C)C(=O)NCCC1=CC=CC=C1)S(C)(=O)=O,GLEJOOFDBSFFDK-HNNXBMFYSA-N
COC1=CC=C(S(=O)(=O)N(CC(=O)O)C2=CC([N+](=O)[O-])=CC=C2OC)C=C1F,CSVOIMIVWAVTEJ-UHFFFAOYSA-N
CC[C@@]1(C2=CC=C(NS(=O)(=O)C3=CC=CC=C3[N+](=O)[O-])C=C2)CCC(=O)NC1=O,RMSPKJUJIDQXMD-IBGZPJMESA-N
COC1=CC([N+](=O)[O-])=CC=C1N1C[C@H](C(=O)OCC(=O)C2=CC=CS2)CC1=O,HAZWAYUAGRPWQT-LLVKDONJSA-N
NC(=O)C1=CC=C(N2CCC(C(=O)N3CCC4=CC=CC=C4C3)CC2)C([N+](=O)[O-])=C1,QSWILIMPXVRWNI-UHFFFAOYSA-N
CC1=CC=C([N+](=O)[O-])C(NC(=O)CN(C)[C@@H](C)C2=CC=C(S(N)(=O)=O)C=C2)=C1C,QXUCZERSPORVKQ-AWEZNQCLSA-N
CCOC(=O)CN(C1=CC=C(C(=O)OC)C=C1)S(=O)(=O)C1=CC=CC([N+](=O)[O-])=C1,SHHUDNYXVUSGIW-UHFFFAOYSA-N
COC1=CC=CC=C1[C@H]1C2=C(NC3=NN=NN31)C(=O)NN=C2C1=CC=C([N+](=O)[O-])C=C1,UUKGXXXUWLFUHL-KRWDZBQOSA-N
COC1=CC=C([N+](=O)[O-])C=C1C(=O)N1CCC(C(=O)NCCC2=CC=CC=N2)CC1,UKQZRUSVRYNSFE-UHFFFAOYSA-N
C[C@H]1CCCC[C@@H]1NC(=O)CN1CCC(NC(=O)C2=CC=C([N+](=O)[O-])C=C2)CC1,BOQNALBMIRWPLB-KXBFYZLASA-N
COC1=CC=C([N+](=O)[O-])C=C1N(CC(=O)N[C@@H](C)C1=CC=CC=C1)S(C)(=O)=O,QIXSPCGDCCRZJH-ZDUSSCGKSA-N
CC1=CC=C(C)C(S(=O)(=O)N2CCN(C(=O)CC3=CC=CC=C3[N+](=O)[O-])CC2)=C1,JYXGQJFPAADIRI-UHFFFAOYSA-N
COC1=CC=C(C(=O)NCC(=O)NC2=CC=C3OCCCOC3=C2)C=C1[N+](=O)[O-],CQFBPBNCWAKMJL-UHFFFAOYSA-N
COC(=O)C1=CC(OC)=C(OC)C=C1N(C)S(=O)(=O)C1=CC=C([N+](=O)[O-])C=C1,DHYVGCYBBWVVGR-UHFFFAOYSA-N
COC(=O)C1=CN([C@@H]2CCCC[C@H]2NC(=O)CCNC2=CC=CC=C2[N+](=O)[O-])N=N1,FFRUZYFDYVYAKP-GDBMZVCRSA-N
CCCCSC1=NC(=O)C2=C3C=CC=CC3=N[C@@H](C3=CC=CC=C3[N+](=O)[O-])N2N1,RSMOFUZNVGHWMT-GOSISDBHSA-N
COC1=CC=C([N+](=O)[O-])C=C1NC(=O)CN(C1=CC=C(F)C=C1F)S(C)(=O)=O,XYRYEVRAOVLAOT-UHFFFAOYSA-N
COC1=CC=C([N+](=O)[O-])C(NC(=O)COC(=O)[C@H]2CC(=O)N(C3=CC=CC=C3)C2)=C1,SOBNSCCQUPNREZ-ZDUSSCGKSA-N
CCC1=NNC(N2C=CC3=NC4=C(C=C3C2=O)C(=O)N(C2=CC=CC=C2OC)C=C4)=N1,XRQZTFUGJFJSET-UHFFFAOYSA-N
COC1=CC=C(NC(=O)[C@H](C)N(C2=CC=CC([N+](=O)[O-])=C2)S(C)(=O)=O)C=C1OC,LIZATFYCYGKVFH-LBPRGKRZSA-N
CCCCN1C(=O)NC(=O)C2=C1N=C(COC1=CC=C(OC)C=C1[N+](=O)[O-])N2CC,KJYAXBXCRQHUTA-UHFFFAOYSA-N
COC1=CC2=C(C=C1OC)CN(C1=C(O)N(C3=CC=CC=C3[N+](=O)[O-])C(O)=C1)CC2,ZRIMBWFNMISJTQ-UHFFFAOYSA-N
COC1=CC=C([N+](=O)[O-])C=C1NC(=O)[C@H](C)OC(=O)C1=NNC(=O)C2=CC=CC=C12,QSTZRGUUDCRYOU-JTQLQIEISA-N
CC1=CC=C(N(CC(=O)O)S(=O)(=O)C2=CC=C(C)C([N+](=O)[O-])=C2)C=C1[N+](=O)[O-],ZAKSGKTZJVEFKE-UHFFFAOYSA-N
O=C(CN1C(=O)S/C(=C/C2=CC=C(Cl)C([N+](=O)[O-])=C2)C1=O)N1CCOCC1,NIEFENNIYNYLTN-MDWZMJQESA-N
COC1=C(O)C=CC([C@@H]2NC3=CC=CC=C3C3=[N+]2N=C(SC)NC3=O)=C1[N+](=O)[O-],YPYIOOZAVJQRLO-MRXNPFEDSA-O
O=C(OCC(=O)N1CCN(C2=CC=C([N+](=O)[O-])C=C2)CC1)C1=CC=C(Cl)C=C1O,CIWJWTXEECJNSB-UHFFFAOYSA-N
CC1=CC=CC(NC(=O)CSCC(=O)NC[C@H](O)C2=CC=C([N+](=O)[O-])C=C2)=C1,RLKNFWLBJXFKID-KRWDZBQOSA-N
CC1=CC(C(=O)N2CCC(NS(=O)(=O)C3=CC=CC=C3)CC2)=CC=C1[N+](=O)[O-],IQGPJWFBWCMJOT-UHFFFAOYSA-N
CC1=CC([N+](=O)[O-])=CC=C1N1C(O)=C2C(=C1O)[C@@H]1C=CC=NN1[C@@H]2C(=O)C(C)(C)C,UEQJSDZOAIZKSY-YOEHRIQHSA-N
COC1=CC=C(C2=NNC(=O)C3=C2[C@@H](C2=CC=CC([N+](=O)[O-])=C2)N2N=NN=C2N3)C=C1,HBZKEALWPCODCL-QGZVFWFLSA-N
O=C1NC(/C=C/C2=CC=C(O)C(I)=C2)=NC(O)=C1[N+](=O)[O-],PWOPHNWXTJSCPU-DUXPYHPUSA-N
CC1=CC=C(S(=O)(=O)NC2=CC=C(C(=O)N3CCN(C)CC3)C=C2)C=C1[N+](=O)[O-],NFUVVBMXYBZATR-UHFFFAOYSA-N
C[C@@H](C(=O)N1CCC2=CC=CC=C2C1)N(C1=CC=CC([N+](=O)[O-])=C1)S(C)(=O)=O,UPAYIFVJQYEVKE-AWEZNQCLSA-N
COC(=O)CN(C1=CC(C(=O)OC)=CC=C1C)S(=O)(=O)C1=CC=CC=C1[N+](=O)[O-],ADYWQSCTOSJZJA-UHFFFAOYSA-N
COC[C@H](O)CSC1=C([N+](=O)[O-])N=C(C)N1CC1=CC=C(OC)C([N+](=O)[O-])=C1,YXOKNBXJOFBQLA-LBPRGKRZSA-N
CCN(CC)C1=CC=C(S(=O)(=O)N2CCCCC2)C=C1NC(=O)[C@@H]1C[C@@H]1[N+](=O)[O-],BESCTAVNROOUCL-QAPCUYQASA-N
COC(=O)C1=CC=CC=C1NC(=O)CN(C1=CC([N+](=O)[O-])=CC=C1C)S(C)(=O)=O,QLQHCBKUQMTYDM-UHFFFAOYSA-N
CC1=CC=CC(NC(=O)C2=CC=CC([N+](=O)[O-])=C2)=C1C(=O)N1CCC(C(N)=O)CC1,KAHZBCLKRXBBFN-UHFFFAOYSA-N
COCCNC(=O)C1=CC(S(=O)(=O)NC2=CC([N+](=O)[O-])=CC=C2C)=CC=C1C,GEMRAHYCMLOWCX-UHFFFAOYSA-N
CC1=C(NS(=O)(=O)C2=CC=C(F)C([N+](=O)[O-])=C2)C(=O)N(C2=CC=CC=C2)N1C,CHRHCVQZYATWEQ-UHFFFAOYSA-N
C[C@@]1(NC(=O)COC2=CC=C([N+](=O)[O-])C=C2CC2=CC=CC=C2)CCS(=O)(=O)C1,OKVCCKSUCYIRBR-HXUWFJFHSA-N
COC(=O)CN(C1=CC=CC(C(=O)OC)=C1)S(=O)(=O)C1=CC([N+](=O)[O-])=CC=C1C,UOBRWKDLSFJXAY-UHFFFAOYSA-N
CC1(C)O[C@H]2[C@@H](O1)[C@@H](COC(=O)C1=CC=C([N+](=O)[O-])C=C1)O[C@H]1OC(C)(C)O[C@@H]12,IKRMVZVASOBSSJ-HNLJFRNMSA-N
CC1=CC=C([N+](=O)[O-])C=C1S(=O)(=O)N1CCN(CC2=CC=C3OCCC3=C2)CC1,UKYWKXRXPZKXPP-UHFFFAOYSA-N
COC1=CC=C(CNC(=O)[C@@H](C)N(C2=CC=CC([N+](=O)[O-])=C2)S(C)(=O)=O)C=C1,OLYLAWCCBNYPEA-CYBMUJFWSA-N
CCOC1=CC=C(S(=O)(=O)N(CC(=O)OC)C2=CC([N+](=O)[O-])=CC=C2OC)C=C1,IRJBVIPHIKFUAW-UHFFFAOYSA-N
COC1=CC=C(C(=O)O)C=C1NC(=O)C1=CC=C(N2CCOCC2)C([N+](=O)[O-])=C1,LJWQZAVBTAVLSF-UHFFFAOYSA-N
CC1=CC=C(NC(=O)COC(=O)C2=CC=CC(N3C(O)=CC=C3O)=C2)C=C1[N+](=O)[O-],GWRDFRFRDRGVSJ-UHFFFAOYSA-N
COC1=CC(C(=O)NC2=CC=CC([N+](=O)[O-])=C2)=C(N(C)S(C)(=O)=O)C=C1OC,KLSHOZSBJBCVEJ-UHFFFAOYSA-N
COC(=O)CN(C1=CC=CC([N+](=O)[O-])=C1C)S(=O)(=O)C1=CC=C(C)C([N+](=O)[O-])=C1,TXCRBCLSPROHDT-UHFFFAOYSA-N
CC1=CC(C)=NC(N2NC3=C(C(=O)C(CC4=CC=C([N+](=O)[O-])C=C4)=C(C)N3)C2=O)=N1,XXVLYUDVTOZIJZ-UHFFFAOYSA-N
COC1=CC=CC(C2=NNC(=O)C3=C2[C@@H](C2=CC=CC([N+](=O)[O-])=C2)N2N=NN=C2N3)=C1,OWYDTSQKCKMPNY-QGZVFWFLSA-N
CNC1=NN=C(C2=NN(C3=CC=C([N+](=O)[O-])C=C3)C(=O)C3=C(N)SC=C23)S1,SZLZIVXHEWOSTO-UHFFFAOYSA-N
COC1=CC=CC=C1[C@H]1C2=C(O)N(C3=CC=CC([N+](=O)[O-])=C3)C(O)=C2N2CCCN12,JDVXXCAOSBKBGB-SFHVURJKSA-N
CC1(C)O[C@@H]2O[C@H](COC(=O)C3=CC=C([N+](=O)[O-])C=C3)[C@@H]3OC(C)(C)O[C@H]3[C@@H]2O1,IKRMVZVASOBSSJ-NMNMXBMNSA-N
COC1=CC=CC=C1N1CCN(CC(=O)NC2=CC=C([N+](=O)[O-])C(OC)=C2)CC1,YHECJRZVNRHCBE-UHFFFAOYSA-N
CC1=CC=C(N2C(O)=C3C(=C2O)[C@H]2O[C@H]3[C@H]3ON=C(C4=CC=CC([N+](=O)[O-])=C4)[C@@H]32)C=C1,FYZKPIZJVDMOQN-AFYVEPGGSA-N
CCO[C@@H](C)C(=O)OC[C@H](C(=O)OC1C[C@@H]2[C@@H]3O[C@@H]3[C@@H](C1)[N+]2(C)C)C1=CC=CC=C1,BWDLFAFAWSQDLQ-FHWWAECRSA-N
CC1=CC=C([N+](=O)[O-])C=C1NS(=O)(=O)C1=CC=C(C)C(C(=O)N2CCOCC2)=C1,SQLVZENDSUXUDK-UHFFFAOYSA-N
C[C@H](OC(=O)CNC(=O)C1=CC=C(Cl)C([N+](=O)[O-])=C1)C(=O)NCC1=CC=CC=C1,GXDSOXOUQGDADC-LBPRGKRZSA-N
O=C(C1=CC=C([N+](=O)[O-])C=C1Cl)N1CCN(S(=O)(=O)C2=CC=CC=C2)CC1,FHIPRJVMIBPPSM-UHFFFAOYSA-N
C[C@H]1C[C@H](C)CN(C(=O)COC(=O)C2=CC=C(N3CCOCC3)C([N+](=O)[O-])=C2)C1,ZXYCUDWIQKNHED-GJZGRUSLSA-N
COC1=CC=C(OC)C(NC(=O)CN(C2=CC([N+](=O)[O-])=CC=C2C)S(C)(=O)=O)=C1,KNWFKJDUEQXROF-UHFFFAOYSA-N
NC(=O)C1=C(NC(=S)NC(=O)COC2=CC=C([N+](=O)[O-])C=C2)SC2=C1CCC2,PAPPTVKBYRXXLQ-UHFFFAOYSA-N
COC1=CC=C(C(=O)O)C=C1NC(=S)NC(=O)C1=CC=C(OC)C([N+](=O)[O-])=C1,ZJFJDFRJAQBKLZ-UHFFFAOYSA-N
O=C(C1=CC2=CC=CC=C2O1)N1CCN(S(=O)(=O)C2=CC=CC=C2[N+](=O)[O-])CC1,ZLRKCQLCAKDWQI-UHFFFAOYSA-N
O=C(COC(=O)C1=CC([N+](=O)[O-])=CC=C1N1CCOCC1)NC1=CC=CN=C1Cl,SGTHDDBPEGFXSR-UHFFFAOYSA-N
CC1=CC=C(C(=O)N2CCC(C(=O)NCC(C)(C)CN(C)C)CC2)C=C1[N+](=O)[O-],FKWKKONXIBJDEE-UHFFFAOYSA-N
CC1=CC=C(S(=O)(=O)N2CCOCC2)C=C1C(=O)NC1=CC=CC([N+](=O)[O-])=C1,BMAOYVYWUUJKLF-UHFFFAOYSA-N
COC1=CC=C([C@H]2C3=C(NC4=NN=NN42)C(=O)NN=C3C2=CC=CC([N+](=O)[O-])=C2)C=C1,JZQSKUJFJGURGZ-KRWDZBQOSA-N
CC1=CC=C2O[C@H](C(=O)NC3=CC([N+](=O)[O-])=CC=C3C)CN(S(C)(=O)=O)C2=C1,OQUYGVCFMPBDPG-KRWDZBQOSA-N
CC1=CC=CC(C(=O)N2CCN(CC(=O)N3CCC4=CC=CC=C43)CC2)=C1[N+](=O)[O-],DTHMQIXGWMTVEX-UHFFFAOYSA-N
O=C(NC1=CC=CC=C1C(=O)NCCCN1CCOCC1)C1=CC=CC([N+](=O)[O-])=C1,ZBZRFDRFKFJXGB-UHFFFAOYSA-N
COC(=O)CN(C1=CC=C(OC)C=C1OC)S(=O)(=O)C1=CC([N+](=O)[O-])=CC=C1C,WVZFVEGDZQUKKQ-UHFFFAOYSA-N
COC(=O)CN1C(=O)/C(=C/C2=CC=C(C3=CC=C([N+](=O)[O-])C=C3)O2)N(C)C1=S,WZOMHPSFJTVTHT-ZROIWOOFSA-N
O=C(COC(=O)CCNC(=O)C1=CC=C([N+](=O)[O-])C=C1)NCCC1=CCCCC1,JVVIHKCWKWKEEU-UHFFFAOYSA-N
CC(=O)NC1=CC=C(NC(=O)CN(C2=CC([N+](=O)[O-])=CC=C2C)S(C)(=O)=O)C=C1,ZRSZUJRRJWFAJJ-UHFFFAOYSA-N
COC(=O)CN(C1=CC([N+](=O)[O-])=CC=C1C)S(=O)(=O)C1=CC=CC([N+](=O)[O-])=C1,WWABWZUHRXTVSX-UHFFFAOYSA-N
CCOC(=O)C1=C(C)N2C(=N[C@@H]1C1=CC=C([N+](=O)[O-])C=C1)SC(=C(C)C)C2=O,LIWVJCDRSZMCTQ-OAHLLOKOSA-N
CC1=CC=C(NC(=O)COC(=O)[C@@H]2CC(=O)N(CC3=CC=CO3)C2)C=C1[N+](=O)[O-],BTQVQUFRGVKMRT-CYBMUJFWSA-N
CC1=C(N(CC(=O)NCCSC(C)(C)C)S(C)(=O)=O)C=CC=C1[N+](=O)[O-],NWFWNLLUXSQSTO-UHFFFAOYSA-N
CC1=CC=C([N+](=O)[O-])C=C1NC(=O)CN(C1=CC=CC([N+](=O)[O-])=C1)S(C)(=O)=O,QXGXSNHCVKLRSW-UHFFFAOYSA-N
COC1=CC=C(NC(=O)[C@@H]2C[C@H]2[N+](=O)[O-])C=C1NS(=O)(=O)C1=CC=C(F)C=C1,CNPRBALOWOHNRD-UKRRQHHQSA-N
COC(=O)C1=CC=CC=C1NC(=O)[C@@H](C)N(C1=CC=CC([N+](=O)[O-])=C1)S(C)(=O)=O,TURBXKCQKRJFMA-GFCCVEGCSA-N
O=C(NC[C@@H]1CCCO1)[C@H](CC1=CC=CC=C1)N1C(=O)C2=CC=CC([N+](=O)[O-])=C2C1=O,GUDXVFWLFZLXMJ-YJBOKZPZSA-N
COC(=O)CN(C1=CC=C2OCCOC2=C1)S(=O)(=O)C1=CC=C(C)C([N+](=O)[O-])=C1,HHPYYHMZORHUFN-UHFFFAOYSA-N
CCOC(=O)CN(C1=CC=CC([N+](=O)[O-])=C1)S(=O)(=O)C1=CC=C(NC(C)=O)C=C1,CDNYKWIUUPWCMH-UHFFFAOYSA-N
CN(C)S(=O)(=O)C1=CC=C2C(=C1)CCN2C(=O)/C=C/C1=CC=C([N+](=O)[O-])C=C1,ZAUUIDUDYYLPSH-BJMVGYQFSA-N
COC1=CC([N+](=O)[O-])=CC=C1NC(=O)COC(=O)C1=CC(OC)=C2OCCOC2=C1,GOQLZYPTOTYBHB-UHFFFAOYSA-N
CC(=NC(=O)CCC1=CC=CC=C1)C(=O)N1CCN(C2=CC=C([N+](=O)[O-])C=C2)CC1,ALOQYLKTTXBAQN-UHFFFAOYSA-N
COCCCNC(=O)C1=CC=CC=C1NS(=O)(=O)C1=CC([N+](=O)[O-])=CC=C1C,LVKJDDQXOIPQIM-UHFFFAOYSA-N
COC1=CC=C([N+](=O)[O-])C=C1N(CCCC(=O)N[C@H](C)C(C)C)S(C)(=O)=O,HDDLHNNIGMETKO-CYBMUJFWSA-N
CC(C)(C)C1=NNC(SCC(=O)N2CCN(C3=CC=CC=C3[N+](=O)[O-])CC2)=N1,GOIYBAWAAZYVHA-UHFFFAOYSA-N
COC1=CC=C(NC(=O)[C@H]2C[C@H]2[N+](=O)[O-])C=C1NS(=O)(=O)C1=CC=C(F)C=C1,CNPRBALOWOHNRD-DZGCQCFKSA-N
O=C(NC[C@@H]1CCCO1)[C@H](C(=O)C1=CC=CC([N+](=O)[O-])=C1)N1C=C(Cl)C=CC1=O,ZZAQZQNKFVUJIW-RDJZCZTQSA-N
COC(=O)C1=CC=C(C(=O)OC)C(NS(=O)(=O)CC2=CC=CC([N+](=O)[O-])=C2)=C1,DAGQCFDLDSPENP-UHFFFAOYSA-N
O=C1NCCCC[C@H]1NC1=CC=C(S(=O)(=O)N2CCCCCC2)C=C1[N+](=O)[O-],SEZOPZHAEABBMY-MRXNPFEDSA-N
CC1=CC=C(NS(=O)(=O)C2=CC=C(Cl)C([N+](=O)[O-])=C2)C=C1S(N)(=O)=O,MCGCGCXBQWKAPB-UHFFFAOYSA-N
COC(=O)C1=CC=C(CN2C=NC3=C(C=NN3C3=CC=CC=C3[N+](=O)[O-])C2=O)C=C1,VPEAGFFFKXPNRM-UHFFFAOYSA-N
COC(=O)C1=CC=CC(NC(=O)[C@H](C)N(C2=CC=CC([N+](=O)[O-])=C2)S(C)(=O)=O)=C1,LHKBJWQBHXVBKU-LBPRGKRZSA-N
COC1=CC=C(S(=O)(=O)NC2=CC=CC([N+](=O)[O-])=C2)C=C1N1C(O)=CC=C1O,YRLWFZZOJMTWGF-UHFFFAOYSA-N
CC(C)OC1=CC=C(CNC(=O)CN(C2=CC=CC([N+](=O)[O-])=C2)S(C)(=O)=O)C=C1,LMYORCAYCJOOIH-UHFFFAOYSA-N
CCCN1C=CC2=NC3=C(C=C2C1=O)C(=O)N(C1=C(C(=O)OCC)C(C)=NN1)C=C3,PSOLTTLBKTVWTJ-UHFFFAOYSA-N
CC[C@]1(C2=CC=C(NS(=O)(=O)C3=CC=CC=C3[N+](=O)[O-])C=C2)CCC(=O)NC1=O,RMSPKJUJIDQXMD-LJQANCHMSA-N
COC1=CC=C(NC(=O)[C@H]2C[C@@H]2[N+](=O)[O-])C=C1NS(=O)(=O)C1=CC=C(F)C=C1,CNPRBALOWOHNRD-ZFWWWQNUSA-N
CCOC1=CC=CC=C1CNC(=O)[C@@H](C)N(C1=CC=CC([N+](=O)[O-])=C1)S(C)(=O)=O,SLFFQWMBMJZKJB-CQSZACIVSA-N
COCCCNC(=O)C1=CC=CC=C1NC(=O)COC1=CC=C([N+](=O)[O-])C(OC)=C1,ZOYZEACGLIKRAQ-UHFFFAOYSA-N
COC1=CC2=C(C=C1OC)CN(C1=C(O)N(C3=CC=CC([N+](=O)[O-])=C3)C(O)=C1)CC2,KWHBNRUABMKGFT-UHFFFAOYSA-N
COC(=O)CN(C1=CC=C(OC)C(OC)=C1)S(=O)(=O)C1=CC([N+](=O)[O-])=CC=C1C,DHOPDGBJOZNBFW-UHFFFAOYSA-N
O=C(NC1=CC=C(S(=O)(=O)NC2=NC=CC=N2)C=C1)C1=CSC([N+](=O)[O-])=C1,CVTVQYDYRFWOIX-UHFFFAOYSA-N
COC(=O)[C@@H]1[C@@H](C2=CC=CC([N+](=O)[O-])=C2)C2=C(NC(=O)S2)S[C@@H]1C(=O)OC,DERPYVWALNEHPB-FOGDFJRCSA-N
O=C(N1CCN(C2=CC=C(N3C=NN=C3)C=C2[N+](=O)[O-])CC1)C(Cl)(Cl)Cl,VPHZWNRTYFKQGD-UHFFFAOYSA-N
O=C(O)CN1C(=O)S/C(=C/C2=CC(Br)=C(O)C([N+](=O)[O-])=C2)C1=O,LDPAUGOFHIRJFL-FPYGCLRLSA-N
COC(=O)CN(C1=CC([N+](=O)[O-])=CC=C1C)S(=O)(=O)C1=CC=CC=C1[N+](=O)[O-],SHECKZBZYXFCJO-UHFFFAOYSA-N
O=C(NC[C@@H]1CCCO1)C1=CC=CC=C1NS(=O)(=O)C1=CC=CC=C1[N+](=O)[O-],YSNNUWHHLXMIRJ-ZDUSSCGKSA-N
COC1=CC=C(S(=O)(=O)N(CC(=O)O)C2=CC([N+](=O)[O-])=CC=C2OC)C=C1C,ZOZJCCDJXRBRRS-UHFFFAOYSA-N
C[C@@]12C=C[C@@](CO)(O1)C1=C(O)N(C3=CC=C(C4=CC=C([N+](=O)[O-])C=C4)C=C3)C(O)=C12,LWSYELNCSYDCOG-VXKWHMMOSA-N
COC1=CC=CC(NC(=O)COC(=O)[C@@H]2CC(=O)N(C3=CC=CC([N+](=O)[O-])=C3)C2)=C1,OUKXEGBCEJWNLJ-CYBMUJFWSA-N
COC1=CC=CC(NC(=O)CN(C2=CC([N+](=O)[O-])=CC=C2OC)S(C)(=O)=O)=C1,UAVHKZXTLBSJMO-UHFFFAOYSA-N
CCN1CCN(CC2=CC=CC=C2CNS(=O)(=O)C2=CC=CC=C2[N+](=O)[O-])CC1,IPWIMURQCMPYRB-UHFFFAOYSA-N
C[C@H](C(=O)NC1=CC=C2OCCOC2=C1)N(C1=CC=CC([N+](=O)[O-])=C1)S(C)(=O)=O,RBPHLYHFKUUJJJ-GFCCVEGCSA-N
NC1=NC(N2CCCCC2)=NC2=C1[C@H](C(=O)NC1=CC=CC=C1[N+](=O)[O-])CC(=O)N2,GCVLQQFRTDXGFW-LLVKDONJSA-N
COC1=CC=C(S(=O)(=O)NCC(=O)OCC2=CC=C(Cl)C=C2)C([N+](=O)[O-])=C1,TWXZVMUIQPVAQZ-UHFFFAOYSA-N
CCCN1N=NC(NC(=S)NC(=O)C2=CC=C(C3=CC=CC=C3[N+](=O)[O-])O2)=N1,XLGSLIYDGBXSRM-UHFFFAOYSA-N
CNC(=O)[C@@H]1CC2=CC=CC=C2CN1S(=O)(=O)C1=CC=C(Cl)C([N+](=O)[O-])=C1,HFKYDBOOHXZIPH-INIZCTEOSA-N
COC1=CC=C([N+](=O)[O-])C(NC(=O)COC(=O)[C@@H]2CC(=O)N(C3=CC=CC=C3)C2)=C1,SOBNSCCQUPNREZ-CYBMUJFWSA-N
C[C@@H](NC(=O)COC(=O)[C@H]1CC(=O)N(C2=CC=C([N+](=O)[O-])C=C2)C1)C1=CC=CC=C1,CSDAJIPTNWMUHE-ZBFHGGJFSA-N
O=C(C1=CC=CC=C1)[C@@H]1C2=C(O)N(C3=CC=C([N+](=O)[O-])C=C3)C(O)=C2[C@H]2CCCN21,HONBEKOTOMTURH-APWZRJJASA-N
CCOC(=O)CN(C1=CC=C(OC)C(OC)=C1)S(=O)(=O)C1=CC=C([N+](=O)[O-])C=C1,ITTQBSFHCZIDQM-UHFFFAOYSA-N
COC(=O)[C@@H](C(=O)C(=O)NC1=CC=CC=C1C)C1=NC2=CC=C([N+](=O)[O-])C=C2NC1=O,VPTLVUHZPYJLOO-OAHLLOKOSA-N
CN1C(=O)C2=CC=C(NC(=O)COC(=O)C3=CC=C(Cl)C=C3[N+](=O)[O-])C=C2C1=O,MXZRUQQAAFKMAO-UHFFFAOYSA-N
COC1=CC=C(C(=O)/C=C2\NC(=O)/C(=C\C3=CC([N+](=O)[O-])=CC=C3Cl)S2)C=C1,BDEZEZBWEUNPDI-BEQMOXJMSA-N
COC1=C(O)C=CC([C@H]2NC3=CC=CC=C3C3=[N+]2N=C(SC)NC3=O)=C1[N+](=O)[O-],YPYIOOZAVJQRLO-INIZCTEOSA-O
COC(=O)C1=CC=C(N2CCOCC2)C(NC(=O)COC2=CC=CC=C2[N+](=O)[O-])=C1,SESHRUDTMJNWEF-UHFFFAOYSA-N
CC1=CC=C(S(=O)(=O)N(CC(=O)O)C2=CC=CC([N+](=O)[O-])=C2C)C=C1[N+](=O)[O-],NCIGCDSZPDKQTA-UHFFFAOYSA-N
CC1=CC=C([N+](=O)[O-])C=C1N([C@H](C)C(=O)NC1=CC=C2OCOC2=C1)S(C)(=O)=O,WYXQUDUMZXNKPV-GFCCVEGCSA-N
COC(=O)CN(C1=CC=CC([N+](=O)[O-])=C1)S(=O)(=O)C1=CC([N+](=O)[O-])=CC=C1C,LULYNLJFTHPIDH-UHFFFAOYSA-N
COCCCNC(=O)C1=CC2=C(N=C3C=CC(C)=CN3C2=O)N(C2CCCC2)C1=N,IAGAYDMDBPJNLX-UHFFFAOYSA-N
CS(=O)(=O)C(Br)(Br)[C@@H](O)C1=CC=CC([N+](=O)[O-])=C1,BSPZHPFXGNJMCC-QMMMGPOBSA-N
O=C(O)C1=NN(C2=CC=C([N+](=O)[O-])C=C2)N=C1N1CCN(C2=CC=CC=C2F)CC1,GIZYZLNLHMVHAH-UHFFFAOYSA-N
O=C1NC2=CC=C3NC(=O)C(Br)=C(O)C3=C2C(O)=C1Br,CJXCPSQKQULPDX-UHFFFAOYSA-N
O=C(CN1C(=O)C2=CC=CC([N+](=O)[O-])=C2C1=O)OCC1=CC=C(N2C=CC=N2)C=C1,KPJWCPRXWHTRAY-UHFFFAOYSA-N
CCS(=O)(=O)N1C[C@@H](C(=O)NC2=CC([N+](=O)[O-])=CC=C2OC)OC2=CC=CC=C21,LSJRBMKWXKCLSZ-KRWDZBQOSA-N
CCCN1CCC2(CC1)OC[C@@H](C(=O)O)N2C(=O)C1=CC([N+](=O)[O-])=CC=C1Cl,KXWUVSYBBYECRA-HNNXBMFYSA-N
COC1=CC=CC=C1[C@H]1C2=C(O)N(C3=CC=CC([N+](=O)[O-])=C3)C(O)=C2N2CCCN12,JDVXXCAOSBKBGB-SFHVURJKSA-N
COC(=O)[C@H](C(=O)C(=O)NC1=CC=CC=C1C)C1=NC2=CC=C([N+](=O)[O-])C=C2NC1=O,VPTLVUHZPYJLOO-HNNXBMFYSA-N
CC1=NN(C2=CC=CC=C2[N+](=O)[O-])C(C)=C1[C@@H]1C=C[C@@H](NC(=O)COCC(=O)O)C1,OVEGSEUUBXHEGZ-HUUCEWRRSA-N
CC(C)(CC1=CC=CC=C1)NC(=O)CN(C1=CC=CC([N+](=O)[O-])=C1)S(C)(=O)=O,KRDUXPNZINSLGS-UHFFFAOYSA-N
CNC(=O)[C@@H](C)N(CCC1=CC=CC=C1)C(=O)COC1=CC=C([N+](=O)[O-])C(OC)=C1,OQVBWFJCHXUENL-OAHLLOKOSA-N
O=[N+]([O-])C1=CC=C(S(=O)(=O)N2CCN(CCOC3=CC=CC(F)=C3)CC2)C=C1,MTLRWVPJIPJDQL-UHFFFAOYSA-N
C[C@H]1CCC[C@H](C)N1C(=O)COC(=O)CSC1=CC=C(C(N)=O)C=C1[N+](=O)[O-],GRUFCQFSDVUXCF-RYUDHWBXSA-N
